Model,Accuracy,Precision,Recall,F1 Score,ROC AUC,Training Time,Prediction Time
SVM,0.9816247582205029,0.9827586206896551,0.8702290076335878,0.9230769230769231,0.9944882621964106,0.91538405418396,0.037052154541015625
Extra Trees,0.9729206963249516,0.9478260869565217,0.8320610687022901,0.8861788617886179,0.9880128156357518,0.6026852130889893,0.03915905952453613
Random Forest,0.9671179883945842,0.9532710280373832,0.7786259541984732,0.8571428571428571,0.9915844555468202,0.4163329601287842,0.037811994552612305
Multinomial NB,0.9661508704061895,0.9897959183673469,0.7404580152671756,0.8471615720524017,0.9797283017591911,0.02437114715576172,0.006317853927612305
Bernoulli NB,0.9632495164410058,0.9894736842105263,0.7175572519083969,0.831858407079646,0.9963311438546659,0.010649681091308594,0.0029020309448242188
Logistic Regression,0.9545454545454546,0.9883720930232558,0.648854961832061,0.783410138248848,0.9940402221602292,0.0342099666595459,0.00539398193359375
Gradient Boosting,0.9506769825918762,0.9545454545454546,0.6412213740458015,0.7671232876712328,0.9669676143136112,0.33356213569641113,0.008389949798583984
Decision Tree,0.9264990328820116,0.7722772277227723,0.5954198473282443,0.6724137931034483,0.7868935609038573,0.026460886001586914,0.0029439926147460938
Gaussian NB,0.8694390715667312,0.49122807017543857,0.8549618320610687,0.6239554317548747,0.8632505727304236,0.11033415794372559,0.03267192840576172
AdaBoost,0.9061895551257253,0.8148148148148148,0.33587786259541985,0.4756756756756757,0.873513225634653,0.09742379188537598,0.00979304313659668
KNN,0.9013539651837524,1.0,0.22137404580152673,0.3625,0.7781694605767036,0.007410764694213867,0.07254791259765625
